bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-01_task-watchmovie_bold	0.0006596303501945524	0.0005927505359922178	0	4.753236353885105	1.1707689235150918	1.0109263672151907	0.4422726299365868	-1.0	0.03506900043043345	0	0.0	4.096522222222222	3.6822	4.224933333333333	4.382433333333333	0.175112	0.03492444381117821	0.030349433422088623	1028	61	73	61	8.5416028203603	1.0	3.0	3.0	3.0	33.338920003889356	0.04312982581296094	75.10334014892578	0.029101522639393806	175405.0	4.439190979610431e-06	510.68184814452815	333.07818603515625	1.164178906908841	1045.0854351123614	10278.9990234375	10131.4599609375	49467.0	8633.141796875	12392.417675781246	1186.1190185546875	247.61328125
sub-02_task-watchmovie_bold	0.0008383657587548638	0.000726557123540856	0	6.753897399970785	1.410146865462513	1.0094986003018498	0.4554889479544123	27420971008.0	0.03965401932107674	0	0.0	3.6181966666666665	3.3098566666666667	3.6526333333333336	3.8920999999999997	0.0703819	0.03624875098466873	0.020876331254839897	1028	61	73	61	9.041041326219158	1.0	3.0	3.0	3.0	44.17417974825968	0.08892849974878023	75.39566040039062	0.06003938242793083	171325.0	1.8258327691000905e-05	498.76274414062425	340.6156311035156	0.674857903367398	1112.6003023497976	10297.1171875	10183.05078125	52599.0	8735.5181640625	12307.64833984375	1126.30322265625	265.4850769042969
sub-03_task-watchmovie_bold	0.0008362840466926071	0.00047423344552529185	0	4.24513377319377	1.1402911380720542	1.0136280213924054	0.4523508787502263	61913559040.0	0.038755782023266884	0	0.0	3.9668666666666668	3.6489333333333334	4.145433333333333	4.106233333333333	0.153152	0.030979711562395096	0.02089390903711319	1028	61	73	61	9.479558275995272	1.0	3.0	3.0	3.0	32.64461476244327	0.06045565783502089	93.18214416503906	0.040818262845277786	173711.0	8.950570645538392e-06	720.9133605957031	376.9163818359375	0.30909127744099907	1037.3951600307282	10268.4189453125	10198.62890625	50612.0	8636.497509765624	12135.899023437498	1075.84423828125	275.5125427246094
sub-04_task-watchmovie_bold	0.0008550389105058367	0.0006052933394941635	0	4.255772539357353	1.145397554917234	1.017937363446932	0.4519288380184345	69641117696.0	0.033684248240858146	0	0.0	3.8411999999999993	3.5414	3.872533333333333	4.109666666666667	0.117515	0.03175416961312294	0.02280028909444809	1028	61	73	61	9.32602264833691	1.0	3.0	3.0	3.0	57.466885536334324	0.05578276503851336	68.32743835449219	0.03764183819293976	172300.0	4.0544116018281786e-06	457.8475128173825	314.1605529785156	0.9810360690585198	1012.6889839989121	10266.916015625	10115.1845703125	51858.0	8803.520654296875	12228.967187499999	1084.60888671875	258.16241455078125
sub-05_task-watchmovie_bold	0.0014270525291828794	0.0005973567587548638	0	4.715450021480039	1.1543787333008773	1.0282385400097367	0.4661973189677136	32132429824.0	0.05769912453999843	2	0.19455252918287938	3.9555555555555557	3.5557666666666665	4.1870666666666665	4.123833333333333	0.277895	0.02531462162733078	0.023439491167664528	1028	61	73	61	9.55005222528176	1.0	3.0	3.0	3.0	28.965630559935022	0.08193462899493761	91.80835723876953	0.05535176396369934	169772.0	1.547355514048832e-05	715.8245086669891	359.3822937011719	0.6706641728213176	1022.9057638376668	10259.5234375	10174.609375	53977.0	8729.5623046875	12110.458984375	1065.388427734375	227.92755126953125
sub-06_task-watchmovie_bold	0.005848317120622569	0.0011439929941634243	0	6.285984623398241	1.2103011266407007	1.0073708653067195	0.4598762547296467	19234609152.0	0.05036340035121201	17	1.6536964980544746	3.8116222222222227	3.4186333333333336	3.8211333333333335	4.1951	0.281277	0.03169066458940506	0.021951710805296898	1028	61	73	61	9.886806346691062	1.0	3.0	3.0	3.0	35.68265675841495	0.10668595253261494	77.68978881835938	0.07206689566373825	170861.0	2.4025286620599218e-05	565.025146484375	334.5160217285156	0.7921045638566064	943.8913183575735	10138.076171875	10084.896484375	53004.0	8582.247314453125	11895.758740234374	1020.0261840820312	171.35987854003906
sub-07_task-watchmovie_bold	0.0004123540856031129	0.0005473306303501946	0	4.349376764264845	1.201632692161637	1.0019572451898733	0.45644077653288073	55776620544.0	0.029699948125175582	1	0.09727626459143969	3.9358	3.5874333333333333	4.296033333333333	3.9239333333333337	0.205776	0.028207099065184593	0.01923907920718193	1028	61	73	61	9.070850324547695	1.0	3.0	3.0	3.0	30.52413801493163	0.0626500032581258	90.73958587646484	0.042319297790527344	172066.0	1.0430454722154536e-05	683.48486328125	362.51934814453125	1.703717946896301	971.2195574926255	10162.0947265625	10213.1650390625	51294.0	8176.529614257813	11832.63037109375	1125.9215087890625	272.1856689453125
sub-08_task-watchmovie_bold	0.0013769649805447472	0.0007104287023346304	0	4.785373531090558	1.2350524343232725	1.0400429705452765	0.456962178224681	55527362560.0	0.03928156603639935	0	0.0	4.100811111111111	3.806233333333333	4.222333333333333	4.273866666666667	0.349195	0.03217369690537453	0.02418404258787632	1028	61	73	61	9.247568046247512	1.0	3.0	3.0	3.0	30.779752064536908	0.0626718272286378	89.54264831542969	0.042310260236263275	172083.0	1.0427501092635795e-05	682.830236816406	364.9578552246094	1.5819275666216877	974.8051672525172	10301.458984375	10193.4443359375	52021.0	8778.8837890625	12271.0390625	1102.273193359375	215.50538635253906
sub-09_task-watchmovie_bold	0.0021112256809338527	0.0006501758784046693	0	4.306567165540411	1.1696450494255106	1.0334210508276518	0.45204852791637984	97630830592.0	0.03462596489380683	0	0.0	3.6979666666666664	3.3445	3.9520666666666666	3.797333333333333	0.223118	0.03309080749750137	0.022295523434877396	1028	61	73	61	9.59241779150706	1.0	3.0	3.0	3.0	40.5106921676415	0.04626335203012011	84.5479736328125	0.031224410980939865	173281.0	7.7576933108503e-06	623.9373168945312	366.0713806152344	1.1062339324394976	956.8821859411102	10199.6533203125	10118.998046875	51034.0	8653.72822265625	12024.121923828125	1054.8851318359375	246.3938751220703
sub-10_task-watchmovie_bold	0.003096760700389105	0.0009955287966926071	0	5.11337625165531	1.2315046215774097	1.0820124961441098	0.45952354952835067	-1.0	0.043050089120795804	3	0.2918287937743191	3.752727777777778	3.326116666666667	3.9840666666666666	3.948	0.411588	0.023837393149733543	0.022479675710201263	1028	61	73	61	9.665844236418705	1.0	3.0	3.0	3.0	42.83015382686289	0.03985706399725167	65.22015380859375	0.026915863156318665	170182.0	1.5694261583121265e-05	420.69596710204905	294.0987854003906	1.0130862409897698	981.7867179338004	10228.2890625	10158.107421875	53752.0	8686.5154296875	12028.700195312498	1050.9183349609375	183.3055419921875
